"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"608348517640359936","","","2015-06-09 19:02:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: #1 Startup Success Factor? Founder Experience! Knowing  customers &amp; markets, credibility.This &amp; more @sdstartupweek @SDV…","608266615604580352","3238161696","2015-06-09 13:37:16 +0000",""
"608348317450444801","","","2015-06-09 19:01:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: Six more San Diego sunsets til #sdsw kickoff on Broadway Pier. Eat, Drink, Startup! http://t.co/3mcK0OhvMZ","608109451535515648","3238161696","2015-06-09 03:12:46 +0000","https://twitter.com/SDVitalIntake/status/608109451535515648/photo/1,https://twitter.com/SDVitalIntake/status/608109451535515648/photo/1"
"608348206519492609","","","2015-06-09 19:01:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PartnerVOSD: .@sdstartupweek Launch Fest is free! If you're interested in any of the exhibitions, you should purchase tix: http://t.co/…","608100229225668608","2230410001","2015-06-09 02:36:07 +0000","http://sandiegostartupweek.com/"
"608348048415162371","","","2015-06-09 19:00:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: Startups wear your company shirts &amp; caps to @sdstartupweek #sdsw on final for  great event! @SDVitalIntake @evonexus htt…","608063634858733568","3238161696","2015-06-09 00:10:42 +0000","https://twitter.com/SDVitalIntake/status/608063634858733568/photo/1"
"608347962956214272","","","2015-06-09 19:00:31 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: Hi Ho! Hi Ho! 7 CTOs
@7ctos @etdebruin @sdstartupweek #sdsw Tracks Idea, Developer, Seed, Growth. Magic Night Hackers ht…","608054578504990720","3238161696","2015-06-08 23:34:43 +0000","http://bit.ly/1BSaRwz"
"608347912695873536","","","2015-06-09 19:00:19 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CruxPartners: There are still passes available for @sdstartupweek!!!  Don't miss out on the #GoSanDiego #Startup event of the year! htt…","608062938285535233","1955261078","2015-06-09 00:07:56 +0000","http://sandiegostartupweek.com"
"608067764129918977","","","2015-06-09 00:27:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @klong1024: Can't wait for @sdstartupweek NEXT WEEK! There's a ton of event at @evonexus get a ticket and come check them out! http://t.…","608053747386712064","2437784623","2015-06-08 23:31:25 +0000","http://sandiegostartupweek.com/"
"608067742890000384","","","2015-06-09 00:27:01 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: Kick off @sdstartupweek #sdsw with ""Resources to Make Your Startup Succeed"", Growth Track. http://t.co/X4FYAdu71m @evone…","608054379099377664","3238161696","2015-06-08 23:33:55 +0000","http://sched.co/3EVu,http://sched.co/3EVu"
"608067675135184896","","","2015-06-09 00:26:45 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @corinnemarie15: Ticket purchased for #SDSW!! Can't wait! @sdstartupweek #GoSanDiego #Startup http://t.co/RJfSezXd4U","608063434354257922","61977131","2015-06-09 00:09:54 +0000","http://sandiegostartupweek.com,http://sandiegostartupweek.com"
"608062128856170496","","","2015-06-09 00:04:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Planning committee in the final stretch of making this the startup event of the summer #SDSW #GoSanDiego http://t.co/ktDE5LybxU","","","","https://twitter.com/sdstartupweek/status/608062128856170496/photo/1"
